# 英雄ID对照表
# 格式: ID: 变量名 | 中文名 | 类型
# 颜色规则: red=敌人(0-128), blue=队友(129-257), green=自己(258-386)
#======================================================================

0: lianpo_red | 廉颇 | 敌人
1: xiaoqiao_red | 小乔 | 敌人
2: zhaoyun_red | 赵云 | 敌人
3: mozi_red | 墨子 | 敌人
4: daji_red | 妲己 | 敌人
5: yingzheng_red | 嬴政 | 敌人
6: sunshangxiang_red | 孙尚香 | 敌人
7: lubanqihao_red | 鲁班七号 | 敌人
8: zhuangzhou_red | 庄周 | 敌人
9: liushan_red | 刘禅 | 敌人
10: gaojianli_red | 高渐离 | 敌人
11: ake_red | 阿轲 | 敌人
12: zhongwuyan_red | 钟无艳 | 敌人
13: sunbin_red | 孙膑 | 敌人
14: bianque_red | 扁鹊 | 敌人
15: baiqi_red | 白起 | 敌人
16: miyue_red | 芈月 | 敌人
17: lvbu_red | 吕布 | 敌人
18: zhouyv_red | 周瑜 | 敌人
19: xiahoudun_red | 夏侯惇 | 敌人
20: zhenji_red | 甄姬 | 敌人
21: caocao_red | 曹操 | 敌人
22: dianwei_red | 典韦 | 敌人
23: gongbenwuzang_red | 宫本武藏 | 敌人
24: libai_red | 李白 | 敌人
25: makeboluo_red | 马可波罗 | 敌人
26: direnjie_red | 狄仁杰 | 敌人
27: damo_red | 达摩 | 敌人
28: xiangyu_red | 项羽 | 敌人
29: wuzetian_red | 武则天 | 敌人
30: laofuzi_red | 老夫子 | 敌人
31: guanyu_red | 关羽 | 敌人
32: diaochan_red | 貂蝉 | 敌人
33: anqila_red | 安琪拉 | 敌人
34: chengyaojin_red | 程咬金 | 敌人
35: luna_red | 露娜 | 敌人
36: jiangziya_red | 姜子牙 | 敌人
37: liubang_red | 刘邦 | 敌人
38: hanxin_red | 韩信 | 敌人
39: wangzhaojun_red | 王昭君 | 敌人
40: lanlingwang_red | 兰陵王 | 敌人
41: huamulan_red | 花木兰 | 敌人
42: zhangliang_red | 张良 | 敌人
43: buzhihuowu_red | 不知火舞 | 敌人
44: nakelulu_red | 娜可露露 | 敌人
45: jvyoujing_red | 橘右京 | 敌人
46: yase_red | 亚瑟 | 敌人
47: sunwukong_red | 孙悟空 | 敌人
48: niumo_red | 牛魔 | 敌人
49: houyi_red | 后羿 | 敌人
50: liubei_red | 刘备 | 敌人
51: zhangfei_red | 张飞 | 敌人
52: liyuanfang_red | 李元芳 | 敌人
53: yuji_red | 虞姬 | 敌人
54: zhongkui_red | 钟馗 | 敌人
55: yangjian_red | 杨戬 | 敌人
56: yadianna_red | 雅典娜 | 敌人
57: caiwenji_red | 蔡文姬 | 敌人
58: taiyizhenren_red | 太乙真人 | 敌人
59: nezha_red | 哪吒 | 敌人
60: zhugeliang_red | 诸葛亮 | 敌人
61: huangzhong_red | 黄忠 | 敌人
62: daqiao_red | 大乔 | 敌人
63: donghuangtaiyi_red | 东皇太一 | 敌人
64: ganjiangmoye_red | 干将莫邪 | 敌人
65: guiguzi_red | 鬼谷子 | 敌人
66: kai_red | 铠 | 敌人
67: bailishouyue_red | 百里守约 | 敌人
68: bailixuance_red | 百里玄策 | 敌人
69: sulie_red | 苏烈 | 敌人
70: mengqi_red | 蒙犽 | 敌人
71: nvwa_red | 女娲 | 敌人
72: mingshiyin_red | 明世隐 | 敌人
73: gongsunli_red | 公孙离 | 敌人
74: yangyuhuan_red | 杨玉环 | 敌人
75: peiqinhu_red | 裴擒虎 | 敌人
76: yixing_red | 弈星 | 敌人
77: kuangtie_red | 狂铁 | 敌人
78: milaidi_red | 米莱狄 | 敌人
79: yuange_red | 元歌 | 敌人
80: sunce_red | 孙策 | 敌人
81: simayi_red | 司马懿 | 敌人
82: dunshan_red | 盾山 | 敌人
83: jialuo_red | 伽罗 | 敌人
84: shenmengxi_red | 沈梦溪 | 敌人
85: lixin_red | 李信 | 敌人
86: shangguanwaner_red | 上官婉儿 | 敌人
87: change_red | 嫦娥 | 敌人
88: zhubajie_red | 猪八戒 | 敌人
89: pangu_red | 盘古 | 敌人
90: yao_red | 瑶 | 敌人
91: yunzhongjun_red | 云中君 | 敌人
92: dongfangyao_red | 东方曜 | 敌人
93: machao_red | 马超 | 敌人
94: xishi_red | 西施 | 敌人
95: lubandashi_red | 鲁班大师 | 敌人
96: mengya_red | 蒙恬 | 敌人
97: jing_red | 镜 | 敌人
98: mengtian_red | 蒙恬 | 敌人
99: aguduo_red | 阿古朵 | 敌人
100: xialuote_red | 夏洛特 | 敌人
101: lan_red | 澜 | 敌人
102: sikongzhen_red | 司空震 | 敌人
103: ailin_red | 艾琳 | 敌人
104: yunying_red | 云缨 | 敌人
105: jinchan_red | 金蝉 | 敌人
106: fei_red | 暃 | 敌人
107: sangqi_red | 桑启 | 敌人
108: geya_red | 戈娅 | 敌人
109: haiyue_red | 海月 | 敌人
110: zhaohuaizhen_red | 赵怀真 | 敌人
111: laixiao_red | 莱西奥 | 敌人
112: jixiaoman_red | 姬小满 | 敌人
113: yalian_red | 亚连 | 敌人
114: duoliya_red | 朵莉亚 | 敌人
115: hainuo_red | 海诺 | 敌人
116: aoyin_red | 敖隐 | 敌人
117: dasiming_red | 大司命 | 敌人
118: yuanliuzhizi_magic_red | 元流之子(法) | 敌人
119: yuanliuzhizi_tank_red | 元流之子(坦) | 敌人
120: shaosiyuan_red | 少司缘 | 敌人
121: ying_red | 影 | 敌人
122: cang_red | 苍 | 敌人
123: kongkonger_red | 空空儿 | 敌人
124: yuanliuzhizi_archer_red | 元流之子(射) | 敌人
125: sunquan_red | 孙权 | 敌人
126: chicha_red | 蚩奼 | 敌人
127: yuanliuzhizi_support_red | 元流之子(辅) | 敌人
128: dayu_red | 大禹 | 敌人
129: lianpo_blue | 廉颇 | 队友
130: xiaoqiao_blue | 小乔 | 队友
131: zhaoyun_blue | 赵云 | 队友
132: mozi_blue | 墨子 | 队友
133: daji_blue | 妲己 | 队友
134: yingzheng_blue | 嬴政 | 队友
135: sunshangxiang_blue | 孙尚香 | 队友
136: lubanqihao_blue | 鲁班七号 | 队友
137: zhuangzhou_blue | 庄周 | 队友
138: liushan_blue | 刘禅 | 队友
139: gaojianli_blue | 高渐离 | 队友
140: ake_blue | 阿轲 | 队友
141: zhongwuyan_blue | 钟无艳 | 队友
142: sunbin_blue | 孙膑 | 队友
143: bianque_blue | 扁鹊 | 队友
144: baiqi_blue | 白起 | 队友
145: miyue_blue | 芈月 | 队友
146: lvbu_blue | 吕布 | 队友
147: zhouyv_blue | 周瑜 | 队友
148: xiahoudun_blue | 夏侯惇 | 队友
149: zhenji_blue | 甄姬 | 队友
150: caocao_blue | 曹操 | 队友
151: dianwei_blue | 典韦 | 队友
152: gongbenwuzang_blue | 宫本武藏 | 队友
153: libai_blue | 李白 | 队友
154: makeboluo_blue | 马可波罗 | 队友
155: direnjie_blue | 狄仁杰 | 队友
156: damo_blue | 达摩 | 队友
157: xiangyu_blue | 项羽 | 队友
158: wuzetian_blue | 武则天 | 队友
159: laofuzi_blue | 老夫子 | 队友
160: guanyu_blue | 关羽 | 队友
161: diaochan_blue | 貂蝉 | 队友
162: anqila_blue | 安琪拉 | 队友
163: chengyaojin_blue | 程咬金 | 队友
164: luna_blue | 露娜 | 队友
165: jiangziya_blue | 姜子牙 | 队友
166: liubang_blue | 刘邦 | 队友
167: hanxin_blue | 韩信 | 队友
168: wangzhaojun_blue | 王昭君 | 队友
169: lanlingwang_blue | 兰陵王 | 队友
170: huamulan_blue | 花木兰 | 队友
171: zhangliang_blue | 张良 | 队友
172: buzhihuowu_blue | 不知火舞 | 队友
173: nakelulu_blue | 娜可露露 | 队友
174: jvyoujing_blue | 橘右京 | 队友
175: yase_blue | 亚瑟 | 队友
176: sunwukong_blue | 孙悟空 | 队友
177: niumo_blue | 牛魔 | 队友
178: houyi_blue | 后羿 | 队友
179: liubei_blue | 刘备 | 队友
180: zhangfei_blue | 张飞 | 队友
181: liyuanfang_blue | 李元芳 | 队友
182: yuji_blue | 虞姬 | 队友
183: zhongkui_blue | 钟馗 | 队友
184: yangjian_blue | 杨戬 | 队友
185: yadianna_blue | 雅典娜 | 队友
186: caiwenji_blue | 蔡文姬 | 队友
187: taiyizhenren_blue | 太乙真人 | 队友
188: nezha_blue | 哪吒 | 队友
189: zhugeliang_blue | 诸葛亮 | 队友
190: huangzhong_blue | 黄忠 | 队友
191: daqiao_blue | 大乔 | 队友
192: donghuangtaiyi_blue | 东皇太一 | 队友
